id,score,comment,date
N-01,8,Setup was smooth and the activation email arrived instantly.,2026-01-02
N-02,4,Month 2 value unclear. We almost cancelled.,2026-01-03
N-03,9,Reports are excellent once active.,2026-01-04
N-04,3,Onboarding wizard too complex for our small team.,2026-01-05
N-05,7,Would love Slack alerts.,2026-01-06
N-06,5,Digest email in spam. I never saw it.,2026-01-07
N-07,8,Support was quick on GDPR questions.,2026-01-08
N-08,2,First run is confusing. No guided tour.,2026-01-09
N-09,6,Price is fine but seat management is opaque.,2026-01-10
N-10,9,Activation metric clarity improved our funnel work.,2026-01-11
N-11,4,Push notifications missing on iOS.,2026-01-12
N-12,7,Reports render slowly on big datasets.,2026-01-13
N-13,6,Legacy CSV export broke after API v2.,2026-01-14
N-14,8,Trial activation worked well this quarter.,2026-01-15
N-15,5,Would like an exit survey follow-up.,2026-01-16
N-16,7,SSO setup is the only blocker.,2026-01-17
N-17,6,Retention improved but churn in month 2 persists.,2026-01-18
N-18,9,Great onboarding emails this month.,2026-01-19
