id,subject,description
CT-0001,Onboarding is too complex,"Ticket 1: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0002,Onboarding is too complex,"Ticket 2: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0003,Onboarding is too complex,"Ticket 3: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0004,Onboarding is too complex,"Ticket 4: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0005,Onboarding is too complex,"Ticket 5: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0006,Onboarding is too complex,"Ticket 6: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0007,Onboarding is too complex,"Ticket 7: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0008,Onboarding is too complex,"Ticket 8: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0009,Onboarding is too complex,"Ticket 9: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0010,Onboarding is too complex,"Ticket 10: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0011,Onboarding is too complex,"Ticket 11: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0012,Onboarding is too complex,"Ticket 12: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0013,Onboarding is too complex,"Ticket 13: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0014,Onboarding is too complex,"Ticket 14: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0015,Onboarding is too complex,"Ticket 15: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0016,Onboarding is too complex,"Ticket 16: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0017,Onboarding is too complex,"Ticket 17: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0018,Onboarding is too complex,"Ticket 18: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0019,Onboarding is too complex,"Ticket 19: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0020,Onboarding is too complex,"Ticket 20: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0021,Onboarding is too complex,"Ticket 21: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0022,Onboarding is too complex,"Ticket 22: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0023,Onboarding is too complex,"Ticket 23: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0024,Onboarding is too complex,"Ticket 24: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0025,Onboarding is too complex,"Ticket 25: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0026,Onboarding is too complex,"Ticket 26: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0027,Onboarding is too complex,"Ticket 27: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0028,Onboarding is too complex,"Ticket 28: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0029,Onboarding is too complex,"Ticket 29: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0030,Onboarding is too complex,"Ticket 30: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0031,Onboarding is too complex,"Ticket 31: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0032,Onboarding is too complex,"Ticket 32: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0033,Onboarding is too complex,"Ticket 33: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0034,Onboarding is too complex,"Ticket 34: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0035,Onboarding is too complex,"Ticket 35: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0036,Onboarding is too complex,"Ticket 36: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0037,Onboarding is too complex,"Ticket 37: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0038,Onboarding is too complex,"Ticket 38: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0039,Onboarding is too complex,"Ticket 39: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0040,Onboarding is too complex,"Ticket 40: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0041,Onboarding is too complex,"Ticket 41: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0042,Onboarding is too complex,"Ticket 42: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0043,Onboarding is too complex,"Ticket 43: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0044,Onboarding is too complex,"Ticket 44: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0045,Onboarding is too complex,"Ticket 45: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0046,Onboarding is too complex,"Ticket 46: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0047,Onboarding is too complex,"Ticket 47: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0048,Onboarding is too complex,"Ticket 48: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0049,Onboarding is too complex,"Ticket 49: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0050,Onboarding is too complex,"Ticket 50: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0051,Onboarding is too complex,"Ticket 51: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0052,Onboarding is too complex,"Ticket 52: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0053,Onboarding is too complex,"Ticket 53: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0054,Onboarding is too complex,"Ticket 54: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0055,Onboarding is too complex,"Ticket 55: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0056,Onboarding is too complex,"Ticket 56: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0057,Onboarding is too complex,"Ticket 57: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0058,Onboarding is too complex,"Ticket 58: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0059,Onboarding is too complex,"Ticket 59: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0060,Onboarding is too complex,"Ticket 60: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0061,Onboarding is too complex,"Ticket 61: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0062,Onboarding is too complex,"Ticket 62: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0063,Onboarding is too complex,"Ticket 63: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0064,Onboarding is too complex,"Ticket 64: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0065,Onboarding is too complex,"Ticket 65: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0066,Onboarding is too complex,"Ticket 66: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0067,Onboarding is too complex,"Ticket 67: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0068,Onboarding is too complex,"Ticket 68: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0069,Onboarding is too complex,"Ticket 69: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0070,Onboarding is too complex,"Ticket 70: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0071,Onboarding is too complex,"Ticket 71: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0072,Onboarding is too complex,"Ticket 72: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0073,Onboarding is too complex,"Ticket 73: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0074,Onboarding is too complex,"Ticket 74: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0075,Onboarding is too complex,"Ticket 75: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0076,Onboarding is too complex,"Ticket 76: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0077,Onboarding is too complex,"Ticket 77: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0078,Onboarding is too complex,"Ticket 78: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0079,Onboarding is too complex,"Ticket 79: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0080,Onboarding is too complex,"Ticket 80: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0081,Onboarding is too complex,"Ticket 81: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0082,Onboarding is too complex,"Ticket 82: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0083,Onboarding is too complex,"Ticket 83: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0084,Onboarding is too complex,"Ticket 84: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0085,Onboarding is too complex,"Ticket 85: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0086,Onboarding is too complex,"Ticket 86: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0087,Onboarding is too complex,"Ticket 87: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0088,Onboarding is too complex,"Ticket 88: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0089,Onboarding is too complex,"Ticket 89: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0090,Onboarding is too complex,"Ticket 90: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0091,Onboarding is too complex,"Ticket 91: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0092,Onboarding is too complex,"Ticket 92: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0093,Onboarding is too complex,"Ticket 93: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
